Name,Link,Date,Category,Downloads,Author,Summary
Madelon,https://archive.ics.uci.edu/ml/datasets/Madelon,2008-02-29,N/A,98747,Isabelle GuyonClopinet955 Creston RoadBerkeley CA 90708isabelle '@' clopinet.com ,MADELON is an artificial dataset containing data points grouped in 32 clusters placed on the vertices of a five dimensional hypercube and randomly labeled +1 or -1. The five dimensions constitute 5 informative features. 15 linear combinations of those features were added to form a set of 20 (redundant) informative features. Based on those 20 features one must separate the examples into the 2 classes (corresponding to the +-1 labels). We added a number of distractor feature called 'probes' having no predictive power. The order of the features and patterns were randomized. MADELON -- Positive ex. -- Negative ex. -- Total   Training set -- 1000 -- 1000 -- 2000   Validation set -- 300 -- 300 -- 600   Test set -- 900 -- 900 -- 1800   All -- 2200 -- 2200 -- 4400  Number of variables/features/attributes:Real: 20Probes: 480Total: 500 This dataset is one of five datasets used in the NIPS 2003 feature selection challenge. Our website [Web Link] is still open for post-challenge submissions. Information about other related challenges are found at: [Web Link]. The CLOP package includes sample code to process these data: [Web Link]. All details about the preparation of the data are found in our technical report: Design of experiments for the NIPS 2003 variable selection benchmark Isabelle Guyon July 2003 [Web Link] (also included in the dataset archive). Such information was made available only after the end of the challenge. The data are split into training validation and test set. Target values are provided only for the 2 first sets. Test set performance results are obtained by submitting prediction results to: [Web Link]. The data are in the following format:dataname.param: Parameters and statistics about the datadataname.feat: Identities of the features (in the order the features are found in the data).dataname_train.data: Training set (a space-delimited regular matrix patterns in lines features in columns).  dataname_valid.data: Validation set.    dataname_test.data: Test set. dataname_train.labels: Labels (truth values of the classes) for training examples.   dataname_valid.labels: Validation set labels (withheld during the benchmark but provided now).dataname_test.labels: Test set labels  (withheld so the data can still be use as a benchmark).
Servo,https://archive.ics.uci.edu/ml/datasets/Servo,1993-05-01,Computer,64708,Creator: Karl Ulrich (MIT) Donor:  Ross Quinlan,Ross Quinlan: This data was given to me by Karl Ulrich at MIT in 1986.  I didn't record his description at the time but here's his subsequent (1992) recollection: "I seem to remember that the data was from a simulation of a servo system involving a servo amplifier a motor a lead screw/nut and a sliding carriage of some sort.  It may have been on of the translational axes of a robot on the 9th floor of the AI lab.  In any case the output value is almost certainly a rise time or the time required for the system to respond to a step change in a position set point." (Quinlan ML'93) "This is an interesting collection of data provided by Karl Ulrich.  It covers an extremely non-linear phenomenon - predicting the rise time of a servomechanism in terms of two (continuous) gain settings and two (discrete) choices of mechanical linkages."
Auto MPG,https://archive.ics.uci.edu/ml/datasets/Auto+MPG,1993-07-07,N/A,272654,This dataset was taken from the StatLib library which is maintained at Carnegie Mellon University. The dataset was used in the 1983 American Statistical Association Exposition.,This dataset is a slightly modified version of the dataset provided in the StatLib library.  In line with the use by Ross Quinlan (1993) in predicting the attribute "mpg" 8 of the original instances were removed because they had unknown values for the "mpg" attribute.  The original dataset is available in the file "auto-mpg.data-original". "The data concerns city-cycle fuel consumption in miles per gallon to be predicted in terms of 3 multivalued discrete and 5 continuous attributes." (Quinlan 1993)
BLOGGER,https://archive.ics.uci.edu/ml/datasets/BLOGGER,2013-07-06,Computer,46364,http://www.ijcaonline.org/archives/volume47/number18/7291-0509,In this paper we look for to recognize the causes of users tendto cyber space in Kohkiloye and Boyer Ahmad Province inIran. Collecting information to form database is done byquestionnaire. This questionnaire is provided as oral writtenand also programming of a website which includes an internetquestionnaire and the users can answer the questions as theywish. They entered their used websites blogs and socialnetworks during the day.After collecting questionnaires the wed addresses aregathered to get expected results. And finally their trustfulnessis checked by analyzing their used web pages. As the resultswere same for getting better and noiseless response they willput in database
Ecoli,https://archive.ics.uci.edu/ml/datasets/Ecoli,1996-09-01,Life,143756,Creator and Maintainer: Kenta NakaiInstitue of Molecular and Cellular BiologyOsaka University1-3 Yamada-oka Suita 565 Japannakai '@' imcb.osaka-u.ac.jp http://www.imcb.osaka-u.ac.jp/nakai/psort.html\ Donor:  Paul Horton (paulh '@' cs.berkeley.edu) See also: yeast database,The references below describe a predecessor to this dataset and its development. They also give results (not cross-validated) for classification by a rule-based expert system with that version of the dataset. Reference: "Expert Sytem for Predicting Protein Localization Sites in Gram-Negative Bacteria" Kenta Nakai & Minoru Kanehisa  PROTEINS: Structure Function and Genetics 11:95-110 1991. Reference: "A Knowledge Base for Predicting Protein Localization Sites in Eukaryotic Cells" Kenta Nakai & Minoru Kanehisa Genomics 14:897-911 1992.
Reuters Transcribed Subset,https://archive.ics.uci.edu/ml/datasets/Reuters+Transcribed+Subset,2008-03-08,Business,42013,Shourya Royshourya.roy '@' gmail.com andShantanu Godboleshantanu '@' godbole.net ,Data Characteristics:--------------------This data was created by selecting 20 files each from the 10 largest classes in the Reuters-21578 collection ([Web Link]). The files were read out by 3 Indian speakers and an Automatic Speech Recognition (ASR) system was used to generate the transcripts. More about the ASR system can be found in [1]. Such a dataset will be really helpful to study the effect of speech recognition noise on text mining algorithms. The first work which refered to this dataset was on noisy text classification[2]. Data Format:----------There are 10 directories labeled by the topic name. Each contains 20 files of transcriptions. References:----------[1] L. R. Bahl S. Balakrishnan-Aiyer J. Bellegarda M. FranzP. Gopalakrishnan D. Nahamoo M. Novak M. PadmanabhanM. Picheny and S. RoukosPerformance of the IBM large vocabulary continuous speech recognition system onthe ARPA wall street journal task. In Proc. of ICASSP ’95pages 41–44 Detroit MI 1995.[2] S. Agarwal S. Godbole D. Punjani and S. RoyHow Much Noise is too Much: A Study in Automatic Text Classification'In Proc. of ICDM 2007
Vicon Physical Action Data Set,https://archive.ics.uci.edu/ml/datasets/Vicon+Physical+Action+Data+Set,2011-07-27,Physical,36288,Theo TheodoridisSchool of Computer Science and Electronic EngineeringUniversity of EssexWivenhoe Park Colchester CO4 3SQ UKttheod '@' gmail.com http://sites.google.com/site/ttheod/,1. Protocol:   Seven male and three female subjects (age 25 to 30) who have experienced aggression in scenarios such   as physical fighting took part in the experiment. Throughout 20 individual experiments each subject   had to perform ten normal and ten aggressive activities. Regarding the rights of the subjects involved   ethical regulations have been followed based on the code of ethics of the British psychological society   which explains the ethical legislations to conduct statistical experiments using human subjects. For safety   precaution issues boxing hand wraps have been given to the subjects and for the warm up the subjects   were instructed to familiarise with the bag by having a number of trial runs. The subjects were aware that   since their involvement in this series of experiments was voluntary it was made clear that they could   withdraw at any time from the study. 2. Instrumentation:   The Essex robotic arena was the main experimental hall where the data collection took place. With area   4x5.5m the ten subjects expressed normal and aggressive physical activities at random locations. For the   normal actions a human partner has been used as a focus target attracting the attention from the subjects   so as to perform more realistic activity. For the aggressive actions the subjects made use of a professional   kick-boxing standing bag 1.75m tall with a human figure drawn on its body. The bag has cylindrical shape   made from soft material which could bounce when hit. All the activities have been recorded from random   starting positions so that to have a variety of spatial 3D data. The subjectsâ€™ performance has been recorded   by the Viconâ€™s nine ubiquitous cameras interfacing human activity with spatial coordinate points. Based on   this context the data acquisition process involved four reflectable markers placed on the forearms (elbows   and wrists) four on the forelegs (knees and ankles) and one on the top of the head. 3. Data Setup:   Each experimental trial has been taken separately for each physical activity. The duration of each action   was approximately ~10 seconds per subject which corresponds to a time series of ~3000 samples with   sampling frequency of 200Hz. Within this performance time approximately 15 action trajectories were   extracted counting in average 15 normal (ex: handshaking) and 15 aggressive (ex: punching) actions.
Australian Sign Language signs (High Quality),https://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs+%28High+Quality%29,2002-02-26,N/A,77711,Original Owner and Donor: Mohammed Waleed KadousSchool of Computer Science of EngineeringUniversity of New South WalesSydney NSW 2052 AustraliaTel: 61 2 9385 6922waleed '@' cse.unsw.edu.au ,Data was captured using a setup that consisted of:  - Two Fifth Dimension Technologies (5DT) gloves one right and one left - Two Ascension Flock-of-Birds magnetic position trackers one attached to each hand - A four-port serial card to cope with four data sources - A PC (128MB RAM Intel Pentium II 266MHz) was used  In terms of the quality of the data the Flock system was far superior to the Nintendo system also available from the same donor. Firstly this was a two-hand system. Secondly each position tracker provided 6 degrees of freedom - i.e. roll pitch and yaw as well as x y and z. The gloves also provided a full five fingers of data. But the big improvements were in resolution - both accuracy and temporal. Position and orientation were defined to 14-bit accuracy giving position information with a typical positional error less than one centimetre and angle error less than one half of a degree. Finger bend was measured with 8 bits per finger of which probably 6 bits were usable once the glove was calibrated. The refresh rate of the complete system was close to 100 frames per second; and all signals had significantly less noise than the Nintendo data.  Samples from a single signer (a native Auslan signer) were collected over a period of nine weeks. In total 27 samples per sign and a total of 2565 signs were collected. The average length of each sign was approximately 57 frames.  The data was collected from a volunteer native Auslan signer  The data presented is the raw data with no filtering.  The file consists of 9 subdirectories tctodd1-9. Each directory consists of 3 samples of each sign captured on a different day. In total there are 95 different signs with 27 samples per sign. Signs were provided by a native signer volunteer.  Each file consists of a sequence of lines. Each line consists of 22 whitespace-separated numbers representing the 22 channels of information. The list of channels can be found in the domain description file. It also lists the classes. More information can be found here: [Web Link].   
Statlog (Image Segmentation),https://archive.ics.uci.edu/ml/datasets/Statlog+%28Image+Segmentation%29,1990-11-01,N/A,42935,Creators:  Vision Group University of Massachusetts Donor:  Vision Group (Carla Brodley brodley '@' cs.umass.edu),The instances were drawn randomly from a database of 7 outdoor images.  The images were handsegmented to create a classification for every pixel.   Each instance is a 3x3 region.
Internet Advertisements,https://archive.ics.uci.edu/ml/datasets/Internet+Advertisements,1998-07-01,Computer,269834,Creator & donor:  Nicholas Kushmerick <nick '@' ucd.ie>,This dataset represents a set of possible advertisements on Internet pages.  The features encode the geometry of the image (if available) as well as phrases occuring in the URL the image's URL and alt text the anchor text and words occuring near the anchor text. The task is to predict whether an image is an advertisement ("ad") or not ("nonad").
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,https://archive.ics.uci.edu/ml/datasets/Parkinson+Disease+Spiral+Drawings+Using+Digitized+Graphics+Tablet,2017-07-20,Computer,7633,1. M. Erdem ISENKUL PhD. Istanbul University Department of Computer Engineering 34320 Istanbul Turkey Phone: +90 (212) 473 7070 - 17455 Email: eisenkul '@' istanbul.edu.tr -----------------------------------2. Betul ERDOGDU SAKAR PhD. Bahcesehir University Department of Software Engineering 34381 Istanbul Turkey Phone: +90 (212) 381 0589 Email: betul.erdogdu '@' eng.bahcesehir.edu.tr,The PD and control handwriting database consists of 62 PWP (People with parkinson) and 15 healthy individuals who appealed at the Department of Neurology in Cerrahpasa Faculty of Medicine Istanbul University. From all subjects three types of handwriting recordings (Static Spiral Test (SST) Dynamic Spiral Test (DST) and Stability Test on Certain Point (STCP)) are taken. Also the drawings of spirals belongs to the PWP are included in the dataset as image. Therefore this dataset can also be used for regression.  Handwriting dataset was constructed using Wacom Cintiq 12WX graphics (Hahne et al. 2009) table. It is basically a graphics tablet and LCD monitor rolled into one. It enables to display a PC's screen on its monitor and only interacts with digitized pens. Special software was designed for recording handwriting drawings and testing the coordination of the PD patients using the recordings. The software uses API functions of the device and was developed in C# platform which can be run on Windows systems You can contact with the authors to request the software which is mentioned [1].  In this study there are three different kinds of tests developed for the data collection via graphics tablet. The first one isthe Static Spiral Test (SST) which is frequently used for clinical research in the literature for different purposes like determining motor performance (Wang et al. 2008) measuring tremor (Pullman 1998) and diagnosing PD (Saunders et al. 2008). In this test three wound Archimedean spirals appears on the graphics tablet using the software and patients were asked to retrace the same spiral as much as they can using the digital pen. During the test the features which are mentioned above and the other data to specify the patient are recorded to the database.  The second test is the Dynamic Spiral Test (DST). Unlike SST Archimedean spiral just appears and disappears in certain time intervals in other words the Archimedean spiral blinks. This forces the patient to keep the pattern in mind and continue to draw. The purpose of this test is to determine the change in patient's drawing performance and pause times since it is more difficult to retrace the Archimedean spiral in this case. As a result of this test it is observed that most of the patients continued drawing but nearly all of them lost the pattern.  The third test is Stability Test on Certain Point (STCP). In this test there is a certain red point in the middle of the screen and the subjects are asked to hold the digital pen on the point without touching the screen in a certain time. The purpose of this test is to determine the patient's hand stability or hand tremor level.  Further details are contained in the following reference -- if you use this dataset please cite:  1.Isenkul M.E.; Sakar B.E.; Kursun O. . 'Improved spiral test using digitized graphics tablet for monitoring Parkinson's disease.' The 2nd International Conference on e-Health and Telemedicine (ICEHTM-2014) pp. 171-175 2014.2.Erdogdu Sakar B. Isenkul M. Sakar C.O. Sertbas A. Gurgen F. Delil S. Apaydin H. Kursun O. 'Collection and Analysis of a Parkinson Speech Dataset with Multiple Types of Sound Recordings' IEEE Journal of Biomedical and Health Informatics vol. 17(4) pp. 828-834 2013.
Teaching Assistant Evaluation,https://archive.ics.uci.edu/ml/datasets/Teaching+Assistant+Evaluation,1997-06-07,N/A,96487,Collector:  Wei-Yin Loh (Department of Statistics UW-Madison) Donor: Tjen-Sien Lim (limt '@' stat.wisc.edu),The data consist of evaluations of teaching performance over three regular semesters and two summer semesters of 151 teaching assistant (TA) assignments at the Statistics Department of the University of Wisconsin-Madison. The scores were divided into 3 roughly equal-sized categories ("low" "medium" and "high") to form the class variable.
Human Activity Recognition Using Smartphones,https://archive.ics.uci.edu/ml/datasets/Human+Activity+Recognition+Using+Smartphones,2012-12-10,Computer,545511,Jorge L. Reyes-Ortiz(12) Davide Anguita(1) Alessandro Ghio(1) Luca Oneto(1) and Xavier Parra(2)1 - Smartlab - Non-Linear Complex Systems LaboratoryDITEN - Università  degli Studi di Genova Genoa (I-16145) Italy. 2 - CETpD - Technical Research Centre for Dependency Care and Autonomous LivingUniversitat Politècnica de Catalunya (BarcelonaTech). Vilanova i la Geltrú (08800) Spainactivityrecognition '@' smartlab.ws ,The experiments have been carried out with a group of 30 volunteers within an age bracket of 19-48 years. Each person performed six activities (WALKING WALKING_UPSTAIRS WALKING_DOWNSTAIRS SITTING STANDING LAYING) wearing a smartphone (Samsung Galaxy S II) on the waist. Using its embedded accelerometer and gyroscope we captured 3-axial linear acceleration and 3-axial angular velocity at a constant rate of 50Hz. The experiments have been video-recorded to label the data manually. The obtained dataset has been randomly partitioned into two sets where 70% of the volunteers was selected for generating the training data and 30% the test data. The sensor signals (accelerometer and gyroscope) were pre-processed by applying noise filters and then sampled in fixed-width sliding windows of 2.56 sec and 50% overlap (128 readings/window). The sensor acceleration signal which has gravitational and body motion components was separated using a Butterworth low-pass filter into body acceleration and gravity. The gravitational force is assumed to have only low frequency components therefore a filter with 0.3 Hz cutoff frequency was used. From each window a vector of features was obtained by calculating variables from the time and frequency domain.Check the README.txt file for further details about this dataset. A video of the experiment including an example of the 6 recorded activities with one of the participants can be seen in the following link: [Web Link]An updated version of this dataset can be found at [Web Link]. It includes labels of postural transitions between activities and also the full raw inertial signals instead of the ones pre-processed into windows. 
Chess (King-Rook vs. King),https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King%29,1994-06-01,Game,80568,Creators:  Database generated by Michael Bain and Arthur van Hoff at the Turing Institute Glasgow UK. Donor:  Michael Bain (mike '@' cse.unsw.edu.au) AI Lab Computer ScienceUniversity of New South Wales Sydney 2052 Australia.(tel) +61 2 385 3939(fax) +61 2 663 4576,An Inductive Logic Programming (ILP) or relational learning framework is assumed (Muggleton 1992). The learning system is provided with examples of chess positions described only by the coordinates of the pieces on the board. Background knowledge in the form of row and column differences is also supplied. The relations necessary to form a correct and concise classifier for the target concept must be discovered by the learning system (the examples already provide a complete extensional definition). The task is closely related to Quinlan's (1983) application of ID3 to classify White King and Rook against Black King and Knight (KRKN) positions as lost 2-ply or lost 3-ply. The framework is similar in that the example positions supply only low-grade data. An important difference is that additional background predicates of the kind supplied in the KRKN study via hand-crafted attributes are not provided for this KRK domain. Chess endgames are complex domains which are enumerable. Endgame databases are tables of stored game-theoretic values for the enumerated elements (legal positions) of the domain. The game-theoretic values stored denote whether or not positions are won for either side or include also the depth of win (number of moves) assuming minimax-optimal play. From the point of view of experiments on computer induction such databases provide not only a source of examples but also an oracle (Roycroft 1986) for testing induced rules. However a chess endgame database differs from say a relational database containing details of parts and suppliers in the following important respect. The combinatorics of computing the required game-theoretic values for individual position entries independently would be prohibitive. Therefore all the database entries are generated in a single iterative process using the ``standard backup'' algorithm (Thompson 1986). A KRK database was described by Clarke (1977). The current database was described and used for machine learning experiments in Bain (1992; 1994). It should be noted that our database is not guaranteed correct but the class distribution is the same as Clarke's database. In (Bain 1992; 1994) the task was classification of positions in the database as won for white in a fixed number of moves assuming optimal play by both sides. The problem was structured into separate sub-problems by depth-of-win ordered draw zero one ... sixteen. When learning depth d all examples at depths > d are used as negatives. Quinlan (1994) applied Foil to learn a complete and correct solution for this task. The typical complexity of induced classifiers in this domain suggest that the task is demanding when background knowledge is restricted.
Breast Cancer Wisconsin (Prognostic),https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Prognostic%29,1995-12-01,Life,125586,Creators:  1. Dr. William H. Wolberg General Surgery Dept. University of Wisconsin  Clinical Sciences CenterMadison WI 53792wolberg '@' eagle.surgery.wisc.edu  2. W. Nick Street Computer Sciences Dept. University of Wisconsin1210 West Dayton St. Madison WI 53706street '@' cs.wisc.edu  608-262-6619 3. Olvi L. Mangasarian Computer Sciences Dept. University of Wisconsin1210 West Dayton St. Madison WI 53706olvi '@' cs.wisc.edu  Donor:  Nick Street,Each record represents follow-up data for one breast cancer case.  These are consecutive patients seen by Dr. Wolberg since 1984 and include only those cases exhibiting invasive breast cancer and no evidence of distant metastases at the time of diagnosis.  The first 30 features are computed from a digitized image of a fine needle aspirate (FNA) of a breast mass.  They describe characteristics of the cell nuclei present in the image. A few of the images can be found at [Web Link]  The separation described above was obtained using Multisurface Method-Tree (MSM-T) [K. P. Bennett "Decision Tree Construction Via Linear Programming." Proceedings of the 4th Midwest Artificial Intelligence and Cognitive Science Society pp. 97-101 1992] a classification method which uses linear programming to construct a decision tree.  Relevant features were selected using an exhaustive search in the space of 1-4 features and 1-3 separating planes. The actual linear program used to obtain the separating plane in the 3-dimensional space is that described in: [K. P. Bennett and O. L. Mangasarian: "Robust Linear Programming Discrimination of Two Linearly Inseparable Sets" Optimization Methods and Software 1 1992 23-34]. The Recurrence Surface Approximation (RSA) method is a linear programming model which predicts Time To Recur using both recurrent and nonrecurrent cases.  See references (i) and (ii) above for details of the RSA method.  This database is also available through the UW CS ftp server: ftp ftp.cs.wisc.educd math-prog/cpo-dataset/machine-learn/WPBC/
Molecular Biology (Protein Secondary Structure),https://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Protein+Secondary+Structure%29,N/A,Life,36931,The data set was contributed to the benchmark collection by Terry Sejnowski now at the Salk Institute and the University of California at San Deigo.  The data set was developed in collaboration with Ning Qian of Johns-Hopkins University.,This is a data set used by Ning Qian and Terry Sejnowski in their study using a neural net to predict the secondary structure of certain globular proteins [1].  The idea is to take a linear sequence of amino acids and to predict for each of these amino acids what secondary structure it is a part of within the protein.  There are three choices: alpha-helix beta-sheet and random-coil.  The data set contains both a large set of training data and a distinct set of data that can be used for testing the resulting network.  Qian and Sejnowski use a Nettalk-like approach and report an accuracy of 64.3% on the test set and they speculate that this is about the best that can be done using only local context. There is also a domain theory in the folder donated and created by Jude Shavlik & Rich Maclin
