Nutrition; Physical Activity; and Obesity - Behavioral Risk Factor Surveillance System,Centers for Disease Control and Prevention,http://catalog.data.gov/dataset/nutrition-physical-activity-and-obesity-behavioral-risk-factor-surveillance-system,<p>This dataset includes data on adult's diet  physical activity  and weight status from Behavioral Risk Factor Surveillance System. This data is used for DNPAO's Data  Trends  and Maps database  which provides national and state specific data on obesity  nutrition  physical activity  and breastfeeding.</p> ,2401,adults;brfss;dnpao;fruit;nutrition;obesity;overweight;physical activity;vegetables;walking
Farm Programs Payments,Farm Service Agency  Department of Agriculture,http://catalog.data.gov/dataset/farm-programs-payments,Payments made by the Department of Agriculture  Farm Service Agency to US agricultural producers participating in Farm Bill programs including commodity  price support  disaster assistance and conservation. Payments may be searched by payee  program  year  commodity  state  county  farm  payment date and amount paid.,626,farm programs;payments
FIPS County Code Look-up Tool,US Census Bureau  Department of Commerce,http://catalog.data.gov/dataset/fips-county-code-look-up-tool,The US Census Bureau's online County Look-up Tool provides the unique 3-digit code for the Identification of Counties and Equivalent Entities of the United States  its Possessions  and Insular Areas.,8911,ANSI;FIPS;FIPS 6-4;INCITS 31 2009;county codes;state codes
U.S. International Trade in Goods and Services,US Census Bureau  Department of Commerce,http://catalog.data.gov/dataset/us-international-trade-in-goods-and-services,Monthly report that provides national trade data including imports  exports  and balance of payments for goods and services. Statistics are also reported on a year-to-date basis. Data are continuously compiled and processed. Documents are collected as shipments arrive and depart  and are processed on a flow basis. The BEA uses the data to update U.S. balance of payments  gross domestic product  and national accounts. Other federal agencies use them for economic  financial  and trade policy analysis (such as import/export promotion studies and import/export price indexes). Private businesses and trade associations use them for domestic and overseas market analysis  and industry-  product-  and area-based business planning. Major print and electronic news media use them for general and business news reports.,17814,AIT;AK;AL;AR;ARIZONA;ARKANSAS;AZ;Aberdeen-Hoquiam;Addison;Administered;Aeroplex;Afghanistan;Africa;African;Agricultural;Agriculture;Aguadilla;Air;Airborne;Aircraft;Airport;Akron;Alameda;Albania;Albans;Albany;Albuquerque;Alcan;Alcoholic;Alexandria;Algeria;Algonac;Aliexpress;Alitalia;Allen;Allentown;Alliance;Alpena;Aluminum;Amalie;Amarillo;Amboy;Ambrose;American;Anacortes;Anchorage;Andorra;Andrade;Angeles;Angola;Anguilla;Animal;Annapolis;Antarctic;Antigua;Antilles;Antler;Antonio;Apparel;Arab;Arabia;Argentina;Arkansas;Armenia;Arthur;Artwork;Aruba;Ashland;Ashtabula Conneaut;Association;Astoria;Atlanta;Atlantic;Austin;Australia;Austria;Auto;Automotive;Avion;Avondale;Azerbaijan;Bahamas;Bahrain;Bakersfield;Bakery;Baltimore-Washington;Bangladesh;Bangor;Bank;Bar;Barbados;Barbuda;Bath;Baton;Battle;Baudette;Bauxite;Bay;Beach;Beaufort-Morehead;Beaumont;Bedford;Beecher;Belarus;Belfast;Belgium;Belize;Bellingham;Benin;Bermuda;Bernadino;Bethlehem;Bhutan;Binghamton;Birmingham;Blaine;Blank;Blountville;Bluegrass;Blythville;Boca;Bodies;Boise;Bolivia;Bonita;Books;Bosnia;Boston;Botswana;Boundary;Brazil;Brazzaville;Bridgeport;Bridgewater;British;Brokers;Brownsville;Brunei;Brunswick;Buffalo-Niagara;Bulgaria;Buren;Burkina;Burlington;Burma;Burundi;Business;Butte;CA;CALIFORNIA;CAROLINA;CO;COLORADO;CONNECTICUT;CT;Cache;Caicos;Calais;Caledonia;Calexico;Cambodia;Cambridge;Camden;Cameroon;Camping;Canada;Canaveral;Cane;Cape;Capital;Capitan;Carbury;Cargo;Carquinez;Cayman;Centennial;Central;Chad;Champlain-Rouses;Charles;Charleston;Charlotte;Chattanooga;Chester;Chicago;Chile;China;Christi;Christiansted;Christmas;Cincinnati;City;Civilian;Clayton;Cleveland;Coal;Cocoa;Cocos;Columbia;Columbus;Commercial;Comoros;Complete;Computer;Congo;Consignment;Consumer;Cook;Cookware;Coos;Copper;Coral;Corn;Corpus;Costa;Cote;Cotton;Countries;Courier;Creek;Crisfield;Croatia;Crockett;Crude;Cruz;Cuba;Cyprus;Czech;DAKOTA;DC;DE;DELAWARE;DHL;DISTRICT;Dairy;Dallas;Dalton;Danville;Davenport;Dayton;Daytona;Decatur;Denmark;Denver;Derby;Des;Destrehan;Detour;Detroit;Diego;Djibouti;Dominica;Dominican;Douglas;Drilling;Duluth;Dunseith;Dupage;Durham;Dworkin Cosell;ECCF;Eagle;Eastport;Ecuador;Edinburg;Egypt;El;Electric;Emery;Emirates;Equatorial;Erie;Eritrea;Escanaba;Estonia;Ethiopia;Eureka;Everett;Everglades;Excavating;Express;FL;FLORIDA;Fabens;Facilities;Fairbanks;Fairfield;Fajardo;Falkland;Fall;Falls;Falls-Ranier;Fargo;Farming;Faroe;Faso;FedEx;Fee;Feedstuff;Fernandina;Ferry;Ferrysburg;Field;Fiji;Finished;Finland;Fish;Food;Footwear;Foreign;Forks;Fort;Fortuna;France;Francisco;Frederiksted;Freeport;Freight;French;Fresno;Friday;Front;Frontier;Fruits;Ft;Furniture;Futuna;GA;GEORGIA;Gabon;Galveston;Gambia;Gary;Gateway;Gaza;Gem;Generators;Georgetown;Germany;Ghana;Gibraltar;Glassplate;Glassware;Gloucester;Good;Gramercy;Grand;Grande;Grant;Great;Greece;Green;Greenland;Greenville-Spartansburg;Grenada;Grenadines;Guadeloupe;Guam;Guanica;Guatemala;Guayanilla;Guiana;Guinea;Guinea-Bissau;Gulfport;Guyana;HAMPSHIRE;HAWAII;HI;Hair;Haiti;Handling;Hannah;Hansboro;Hanscom;Harbor;Harlingen;Harrisburg;Hartford;Harve;Haven;Heard;Helena;Herzegovina;Hides;Highgate;Hildago;Hilo;Honduras;Hong KongHonolulu;Hope;Hopewell;Houlton;Household;Houston;Hub;Hueneme;Hulman;Humacao;Hungary;Huntsville;Huron;IA;IA-Rock;IBC;ID;IDAHO;IL;ILLINOIS;IN;INDIANA;IOWA;Iceland;India;Indian;Indianapolis;Indonesia;Industrial;Inland;Intercontinental;International;Iran;Iraq;Ireland;Iron;Island;Islas;Isle;Israel;Italy;JERSEY;JFK;Jackman;Jacksonville;Jamaica;Jan;Japan;Jewelry;Joaquin;Jobos;John;Jonesport;Jordan;Jose;Joseph;Juan;Juneau;KANSAS;KENTUCKY;KS;KY;Kahului;Kalama;Kalispell;Kazakhstan;Keeling;Kenmore;Kent;Kenya;Ketchikan;Key;Kingdom;Kinshasa;Kiribati;Kitts;Knoxville;Kona;Korea;Kosovo;Kuwait;Kyrgyzstan;L G;LA;LAX;LOUISIANA;Laboratory;Lake;Lancaster;Land;Lands;Lanka;Laos;Laredo;Las;Latvia;Lauderdale;Laurier;Lavaca;Lawrence;Lawrenceburg;Leather;Lebanon;Leesburg;Leone;Lesotho;Lexington;Liberia;Libya;Liechtenstein;Limestone;Line;Liquified;Lithuania;Little;Logan;Logs;London;Long;Longview;Lorain;Los;Louis;Louisville;Ltd;Lubbock;Lucia;Luis;Lukeville;Lumber;Luxembourg;Lynden;MA;MAINE;MARYLAND;MASSACHUSETTS;MD;ME;MEXICO;MI;MICHIGAN;MINNESOTA;MISSISSIPPI;MISSOURI;MN;MO;MONTANA;MS;MT;Macau;Macedonia;Mach;Mackinac;Madagascar;Madawaska;Maida;Malawi;Malaysia;Maldives;Mali;Malta;Malvinas;Manatee;Manchester;Manitowoc;Manmade;March;Marian;Marie;Marine;Marinette;Marino;Marquette;Marshall;Martinez;Martinique;Mascoutah;Massena;Materials;Mauritania;Mauritius;Mayaguez;Mayen;Mayotte;McDonald;Meadows;Measuring;Meat;Medicinal;Melbourne;Mellville;Memphis;Mesa;Metaline;Metallurgical;Metalworking;Metropolitan;Miami;Micronesia;Mid-American;Midland;Military;Milwaukee;Mineral;Minimum;Minneapolis-St Paul;Minot;Miquelon;Mobile;Moines;Moldova;Monaco;Mongolia;Montenegro;Monterey;Montserrat;Morgan;Morocco;Morristown;Morro;Motorcycles;Mozambique;Municipal;Musical;Muskegon;Myers;Myrtle;NAICS;NC;ND;NE;NEBRASKA;NEVADA;NH;NJ;NM;NV;NY;NYACC;Naco;Namibia;Naples;Nashville;Natrona;Natural;Nauru;Nawiliwili-Port Allen;Neah;Neche;Nepal;Netherlands;Nevis;Newark;Newport;News;Newsprint;Nicaragua;Nickel;Niger;Nigeria;Nighthawk;Nippon;Niue;Nogales;Nonfarm;Nonferrous;Nonmetallic;Nonmonetary;Nontextile;Noonan;Norfolk;North;Northern;Northgate;Norton;Norway;Noyes;Nuclear;Numismatic;Nursery;Nuts;OH;OHIO;OK;OKLAHOMA;OR;OREGON;Oakland;Oakland-Pontiac;Ocala;Ocean;Ogdensburg;Oilseeds;Oklahoma;Olympia;Omaha;Oman;Ontario;Opheim;Orange;Organizations;Orlando;Orlando-Sanford;Orleans;Oroville;Oswego;Otay;Owensboro-Evansville;PA;PENNSYLVANIA;PR;Pablo;Pacific;Pakistan;Pal-Waukee;Palau;Palm;Panama;Paper;Papua;Paraguay;Parts;Pascagoula;Paso;Pass;Passenger;Paul;Paulsboro;Pembina;Pensacola;Peoria;Perth;Peru;Petersburg;Petroleum;Pharmaceutical;Philadelphia;Philippines;Phoenix;Photo;Piegan;Pierce;Pierre;Pinecreek;Pitcairn;Pittsburgh;Plastic;Pleasure;Plus;Plymouth;Plywood;Point;Poland;Polynesia;Ponce;Port;Portage;Portal;Porthill;Portland;Portsmouth;Portugal;Presidio;Presque;Principe;Progresso;Providence;Provincetown;Puerto Rico;Pulp;Pulpwood;Qatar;RHODE;RI;Racine;Railway;Rapids;Raymond;Records;Reexports;Regional;Reno;Republic;Reunion;Rica;Rice;Richford;Richmond;Richmond-Petersburg;Rico;Rio;River;Riverside;Roberts;Rochester;Rock;Rockford;Rockland;Rogers;Roma;Romania;Roosville;Rose;Roseau;Rouge;Royal;Rugs;Run;Russia;Rwanda;SC;SD;SITC;Sabine;Sacramento;Saginaw-Bay;Sahara;Salem;Salt;Salvador;Samoa;San;Santa;Sao;Sarasota-Bradenton;Sarles;Sasabe;Saudi;Sault;Savannah;Scobey;Searsport;Seattle;Seattle-Tacoma;Segundo;Selby;Semiconductors;Senegal;Serbia;Seychelles;Sheboygan;Sherwood;Shingles;Shreveport-Bossier;Sierra;Singapore;Sioux;Sitka;Skagway;Skypak;Skyracer;Slovakia;Slovenia;Sodus;Solomon;Somalia;Sorghum;South;Southern;Soybeans;Spacecraft;Spacraft;Spain;Special;Specialized;Spirit;Spokane;Sports;Springfield;Springs;Springs-Albany;Sri Lanka;St;States;Station;Ste;Steelmaking;Stereo;Stockton;Stone;Strait;Strip;Sudan;Sugar;Sulfur;Sulphur;Sumas;Superior;Sure;Suriname;Svalbard;Swaziland;Sweden;Sweetgrass;Swift;Swiss;Switzerland;Synthetic;Syracuse;Syria;TENNESSEE;TEXAS;TN;TNT;TV s;TX;Tacoma;Taiwan;Tajikistan;Tampa;Tanks;Tanzania;Tapes;Tea;Tecate;Telecommunications;Teresa;Terminal;Territories;Textile;Thailand;Timor-Leste;Tin;Tobacco;Tobago;Togo;Toiletries;Tokelau;Toledo-Sandusky;Tome;Tonga;Townsend;Toys;Trenton Mercer;Tri-City;Trinidad;Trout;Trucks;Tucson;Tulsa;Tunisia;Turkey;Turkmenistan;Turks;Turner;Tuvalu;U S;UPS;US;UT;UTAH;Uganda;Ukraine;United;Uruguay;Utica;Uzbekistan;VA;VCR s;VERMONT;VI;VIRGINIA;VT;Valdez;Valley;Van;Vanceboro;Vancouver;Vanuatu;Vatican;Vegas;Vegetables;Venezuela;Ventura;Verde;Vessels;Vicksburg;Vietnam;Vincent;Virgin;WA;WASHINGTON;WI;WISCONSIN;WV;WY;WYOMING;Walhalla;Wallis;Warroad;Waukegan;Wayne;West;Western;Westhope;Wheat;Wheeling;Whitetail;Whitlash;Wichita;Wide;Wildhorse;Wilkes-Barre Scranton;Williston;Willow;Wilmington;Wine;Winston-Salem;Wood;Wool;Worcester;World;Worldwide;Worth;Wrangell;Writing;Yakima;Yemen;York;Ypsilanti;Ysidro;Zambia;Zealand;Zimbabwe;Zinc;accessories;advanced;alumina;ammunition;antiques;apparatus;appliances;armored;art;artillery;assembled;audio;balance;barley;beans;beverage;bevs;boats;buses;carburetors;cars;category;cement;chassis;chemicals;chinaware;cloth;coffee;coins;commodity;consumption;control;cosmetics;cotton;country;customs;cutlery;d Ivoire;deficit;destination;diamonds;disks;domestic;duties;edwood;eggs;end-use;energy;engine;equipment;export;exporter;fabrics;feed;fertilizers;fiber;fishing;floor;foodgrains;forestry;frozen;fuel;furs;games;gas;gases;gear;glass;gold;goods;grade;guns;harmonized;import;importer;imports;industry;inorganic;instruments;juices;launching;liquids;livestock;machine;machinery;machines;manufacture;manufactured;matter;merchandise;metal;metals;mill;minerals;mining;minor;missiles;molding;motors;movies;nation;nonagricultural;nonmetallic;nonmonetary;nontextile;nonwool;oats;oil;oilfield;oils;organic;origin;outlying;parachutes;payments;pistons;poultry;preparations;printed;products;purpose;quantity;raw;reimports;related;returned;rings;rockets;rubber;sand;scrap;service;sewing;shapes;sheet;shellfish;shipments;shipping;ships;silk;skins;spices;sporting;stamps;steel;stock;stones;supplies;surplus;tariff;technology;testing;textile;tiles;tires;tools;tractors;trade;trading;transactions;transportation;tubes;turbines;unmanufactured;used;value;valves;vehicle;veneers;visual;wallboard;waste;waxes;woodpulp;wool
National Survey on Drug Use and Health (NSDUH-2015),Substance Abuse &amp; Mental Health Services Administration,http://catalog.data.gov/dataset/national-survey-on-drug-use-and-health-nsduh-2015,"<p>The National Survey on Drug Use and Health (NSDUH) series (formerly titled National Household Survey on Drug Abuse) primarily measures the prevalence and<br />     correlates of drug use in the United States. The surveys are designed to provide quarterly  as well as annual estimates. Information is provided on the use<br />     of illicit drugs  alcohol  and tobacco among members of United States households aged 12 and older. Questions included age at first use as well as<br />     lifetime  annual  and past-month usage for the following drug classes: marijuana  cocaine (and crack)  hallucinogens  heroin  inhalants  alcohol  tobacco <br />     and nonmedical use of prescription drugs  including pain relievers  tranquilizers  stimulants  and sedatives. The survey covered substance abuse treatment<br />     history and perceived need for treatment  and included questions from the Diagnostic and Statistical Manual (DSM) of Mental Disorders that allow diagnostic<br />     criteria to be applied. The survey included questions concerning treatment for both substance abuse and mental health-related disorders. Respondents were<br />     also asked about personal and family income sources and amounts  health care access and coverage  illegal activities and arrest record  problems resulting<br />     from the use of drugs  and needle-sharing. Questions introduced in previous administrations were retained in the 2015 survey  including questions asked<br />     only of respondents aged 12 to 17. These ""youth experiences"" items covered a variety of topics  such as neighborhood environment  illegal activities  drug<br />     use by friends  social support  extracurricular activities  exposure to substance abuse prevention and education programs  and perceived adult attitudes<br />     toward drug use and activities such as school work. Several measures focused on prevention-related themes in this section. Also retained were questions on<br />     mental health and access to care  perceived risk of using drugs  perceived availability of drugs  driving and personal behavior  and cigar smoking.<br />     Questions on the tobacco brand used most often were introduced with the 1999 survey. For the 2008 survey  adult mental health questions were added to<br />     measure symptoms of psychological distress in the worst period of distress that a person experienced in the past 30 days and suicidal ideation. In 2008  a<br />     split-sample design also was included to administer separate sets of questions (WHODAS vs. SDS) to assess impairment due to mental health problems.<br />     Beginning with the 2009 NSDUH  however  all of the adults in the sample received only the WHODAS questions. Background information includes gender  race <br />     age  ethnicity  marital status  educational level  job status  veteran status  and current household composition.This study has 1 Data Set.</p> ",1183,addiction;alcohol;alcohol abuse;alcohol consumption;amphetamines;barbiturates;cocaine;controlled drugs;crack cocaine;demographic characteristics;depression (psychology);drinking behavior;drug abuse;drug dependence;drug treatment;drug use;drugs;employment;hallucinogens;health care;heroin;households;income;inhalants;marijuana;mental health;mental health services;methamphetamine;pregnancy;prescription drugs;sedatives;smoking;stimulants;substance abuse;substance abuse treatment;tobacco use;tranquilizers;youths
American FactFinder II,US Census Bureau  Department of Commerce,http://catalog.data.gov/dataset/american-factfinder-ii,American FactFinder is the Census Bureau's online  self-service tool designed to search a  variety of population  economic  geographic and housing information.,6715,Demographic;Economic;Hispanic origin;accommodation and food services;administrative and support and waste management and remediation services;age;ancestry;art and entertainment and recreation;business;construction;disability;education;educational services;employment;establishments;ethnicity;family type;fertility;finance and insurance;financial characteristics;grandparents;health care and social assistance;household size;housing;income;industry;information;language;management of companies and enterprises;manufacturing;marital status;mining;number of employees;number of rooms;other services;owners;payroll;physical characteristics;population;poverty;professional and scientific and technical services;race;real estate and rental and leasing;receipts;relationships;renters;retail trade;sales;school enrollment;sex;shipment;tenure;transportation and warehousing;utilities;veteran status;wholesale trade
National Stock Number Extract,General Services Administration,http://catalog.data.gov/dataset/national-stock-number-extract,National Stock Number extract includes the current listing of National Stock Numbers (NSNs)   NSN item name and descriptions  and current selling price of each product listed in GSA Advantage and managed by GSA.  Each NSN is listed with the vendors description of the item. Some descriptions exceed the standard length and are truncated.,1261,NSN;National Stock Number;Part Number;Product;Vendor
2010 Census Populations by Zip Code,data.lacity.org,http://catalog.data.gov/dataset/2010-census-populations-by-zip-code,This data comes from the 2010 Census Profile of General Population and Housing Characteristics. Zip codes are limited to those that fall at least partially within LA city boundaries. The dataset will be updated after the next census in 2020.  To view all possible columns and access the data directly  visit http://factfinder.census.gov/faces/affhelp/jsf/pages/metadata.xhtml?lang=en&type=table&id=table.en.DEC_10_SF1_SF1DP1#main_content.,1281,census;population;zip code
Traffic Violations,data.montgomerycountymd.gov,http://catalog.data.gov/dataset/traffic-violations-56dda,This dataset contains traffic violation information from all electronic traffic violations issued in the County.  Any information that can be used to uniquely identify the vehicle  the vehicle owner or the officer issuing the violation will not be published.    Update Frequency:  Daily,3904,traffic;stop;violations;electronic issued.
Crime Data from 2010 to Present,data.lacity.org,http://catalog.data.gov/dataset/crime-data-from-2010-to-present,This dataset reflects incidents of crime in the City of Los Angeles dating back to 2010. This data is transcribed from original crime reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0°  0°). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments.,780,lapd;crime;crime data;police;safe city;crimes
Economic Census,US Census Bureau  Department of Commerce,http://catalog.data.gov/dataset/economic-census,Provides a detailed portrait of business activities in industries and communities once every five years  from the national to the local level.,1985,E-commerce;LFO;accommodation;accounting;administrative;advertising;art;asset;assistance;capital;census;charge;city;commission;communication;companies;construction;consume;contract;cost;county;customer;data;depreciable;depreciation;economic;education;electricity;employee;employment;energy;enterprise;entertainment;establishment;estate;expenditure;expense;factfinder;fee;finance;firm;food;franchising;fuel;gross;health;hour;information;insurance;inventories;labor;leasing;license;management;manufacturing;materials;metro;micropolitan mining;msa;multiunit;naics;nation;nonemployer;office;organization;parts;payment;payroll;pension;place;processing;product;professional;purchased;receipts;recreation;refuse;remediation;rental;repairs;resale;retail;revenue;sales;scientific;services;shipments;single-unit;size;social;state;structure;supplies;support;tax;taxes;technical;transportation;type;u s;utilities;value;warehouse;warehousing;waste;wholesale;work;worker;zip
500 Cities: Local Data for Better Health,Centers for Disease Control and Prevention,http://catalog.data.gov/dataset/500-cities-local-data-for-better-health-b32fd,"<p>This is the complete dataset for the 500 Cities project. This dataset includes 2013  2014 model-based small area estimates for 27 measures of chronic disease related to unhealthy behaviors (5)  health outcomes (13)  and use of preventive services (9). Data were provided by the Centers for Disease Control and Prevention (CDC)  Division of Population Health  Epidemiology and Surveillance Branch. The project was funded by the Robert Wood Johnson Foundation (RWJF) in conjunction with the CDC Foundation. It represents a first-of-its kind effort to release information on a large scale for cities and for small areas within those cities. It includes estimates for the 500 largest US cities and approximately 28 000 census tracts within these cities. These estimates can be used to identify emerging health problems and to inform development and implementation of effective  targeted public health prevention activities. Because the small area model cannot detect effects due to local interventions  users are cautioned against using these estimates for program or policy evaluations. Data sources used to generate these measures include Behavioral Risk Factor Surveillance System (BRFSS) data (2013  2014)  Census Bureau 2010 census population data  and American Community Survey (ACS) 2009-2013  2010-2014 estimates. More information about the methodology can be found at <a href=""http://www.cdc.gov/500cities"">www.cdc.gov/500cities</a>.</p> ",1292,500cities;behaviors;brfss;census;cities;outcomes;prevalence;prevention;tracts;unhealthy
Food Environment Atlas,Economic Research Service  Department of Agriculture,http://catalog.data.gov/dataset/food-environment-atlas-f4a22,Food environment factors--such as store/restaurant proximity  food prices  food and nutrition assistance programs  and community characteristics--interact to influence food choices and diet quality. Research is beginning to document the complexity of these interactions  but more is needed to identify causal relationships and effective policy interventions. The objectives of the Atlas are  to assemble statistics on food environment indicators to stimulate research on the determinants of food choices and diet quality  and to provide a spatial overview of a community's ability to access healthy food and its success in doing so.,512,food assistance;food security;food stores;grocery stores;health;local foods;obesity;physical activity levels;restaurants;socioeconomic characteristics;taxes
American Community Survey,US Census Bureau  Department of Commerce,http://catalog.data.gov/dataset/american-community-survey,An annual nationwide survey that collects information such as age  race  income  commute time to work  home value  veteran status  and other data.,9085,ACS;Economic;Hispanic or Latino origin;SNAP;age;ancestry;citizenship;demographic;disability;divorce;education;employment;ethnicity;family type;fertility;financial characteristics;food stamps;grandparents;grandparents as caregivers;health insurance;homeowner;household size;housing;income;industry;journey to work;language;marital status;marriage;mortgage;number of rooms;occupation;owners;physical characteristics;place of birth;population;poverty;race;relationships;renters;school enrollment;sex;social;tenure;veteran status;veterans
Pittsburgh Wards Map,Allegheny County / City of Pittsburgh / Western PA Regional Data Center,http://catalog.data.gov/dataset/pittsburgh-wards-map,Allows users to look up City of Pittsburgh Wards,1580,map;pittsburgh;wards
Expenditures on Children by Families,Food and Nutrition Service,http://catalog.data.gov/dataset/expenditures-on-children-by-families,This dataset provides expenditures on Children by Families provides estimates of the cost of raising children from birth through age 17 for major budgetary components.,1340,budget;children;cost;expenditures;families;household;husband-wife;income;single-parent
USDA Rural Development Resale Properties - Foreclosure,Rural Development  Department of Agriculture,http://catalog.data.gov/dataset/usda-rural-development-resale-properties-foreclosure,Data provides current information regarding single family homes and ranches for sale by the U.S. Federal Government. These previously owned properties are for sale by public auction or other method depending on the property.,1022,Agriculture and Rural Development;Disaster Relief;Rural Development;agriculture;auction;buy;data;disaster assistance;foreclosure;housing;loan;price;property;real estate;rural;single family housing
