,Algorithm,Anonymised Labels,Author,Column Name,Column Type,Description,File type,Image dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of Views,Size,Summary,Title,URL,Updated
10,[Classification ],,"Creator:  Haym Hirsh, after an idea by Rob Schapire Donor:  Haym Hirsh (hirsh '@' cs.rutgers.edu)",,"Univariate, Text ","Part of the problem in using an automated program to discover the unknown target function is to decide how to encode names such that the program can be used.  The data below are presented in the form of a +/- label followed by the person's name.  It is up to the learning-system user to decide how to convert this data into something usable by the system (e.g., what attributes to use if your favorite learner requires feature-vector data).",,,Other,,1,294,,81620,,"Badges labeled with a ""+"" or ""-"" as a function of a person's name",Badges,https://archive.ics.uci.edu/ml/datasets/Badges,1994
11,[Classification ],,"Generated to model psychological experiments reported by Siegler, R. S. (1976).Three Aspects of Cognitive Development.  Cognitive Psychology, 8, 481-520. Donor:  Tim Hume (hume '@' ics.uci.edu)",,Multivariate ,"This data set was generated to model psychological experimental results.  Each example is classified as having the balance scale tip to the right, tip to the left, or be balanced.  The attributes are the left weight, the left distance, the right weight, and the right distance.  The correct way to find the class is the greater of  (left-distance * left-weight) and (right-distance * right-weight).  If they are equal, it is balanced.",,,Social,,4,625,,166979,,Balance scale weight & distance database,Balance Scale,https://archive.ics.uci.edu/ml/datasets/Balance+Scale,1994
12,[Classification ],,Michael Pazzani (pazzani '@' ics.uci.edu),,Multivariate ,There are four data sets representing different conditions of an experiment. All have the same attributes. a. adult-stretch.data  Inflated is true if age=adult or act=stretch b. adult+stretch.data  Inflated is true if age=adult and act=stretch c. small-yellow.data   Inflated is true if (color=yellow and size = small) or d. small-yellow+adult-stretch.data  Inflated is true if (color=yellow and size = small) or (age=adult and act=stretch),,,Social,,4,16,,182736,,Data previously used in cognitive psychology experiment; 4 data sets represent different conditions of an experiment,Balloons,https://archive.ics.uci.edu/ml/datasets/Balloons, 
13,[Classification ],,"Creators: Matjaz Zwitter & Milan Soklic (physicians)Institute of Oncology University Medical CenterLjubljana, Yugoslavia Donors:  Ming Tan and Jeff Schlimmer (Jeffrey.Schlimmer '@' a.gp.cs.cmu.edu)",,Multivariate ,"This is one of three domains provided by the Oncology Institute that has repeatedly appeared in the machine learning literature. (See also lymphography and primary-tumor.) This data set includes 201 instances of one class and 85 instances of another class.  The instances are described by 9 attributes, some of which are linear and some are nominal.",,,Life,,9,286,,285221,,Breast Cancer Data (Restricted Access),Breast Cancer,https://archive.ics.uci.edu/ml/datasets/Breast+Cancer,1988
14,[Classification ],,"Creator: Dr. WIlliam H. Wolberg (physician)University of Wisconsin HospitalsMadison, Wisconsin, USA Donor:  Olvi Mangasarian (mangasarian '@' cs.wisc.edu)Received by David W. Aha (aha '@' cs.jhu.edu)",,Multivariate ,"Samples arrive periodically as Dr. Wolberg reports his clinical cases. The database therefore reflects this chronological grouping of the data. This grouping information appears immediately below, having been removed from the data itself: Group 1: 367 instances (January 1989)Group 2:  70 instances (October 1989)Group 3:  31 instances (February 1990)Group 4:  17 instances (April 1990)Group 5:  48 instances (August 1990)Group 6:  49 instances (Updated January 1991)Group 7:  31 instances (June 1991)Group 8:  86 instances (November 1991)-----------------------------------------Total:   699 points (as of the donated datbase on 15 July 1992) Note that the results summarized above in Past Usage refer to a dataset of size 369, while Group 1 has only 367 instances.  This is because it originally contained 369 instances; 2 were removed.  The following statements summarizes changes to the original Group 1's set of data: #####  Group 1 : 367 points: 200B 167M (January 1989) #####  Revised Jan 10, 1991: Replaced zero bare nuclei in 1080185 & 1187805 #####  Revised Nov 22,1991: Removed 765878,4,5,9,7,10,10,10,3,8,1 no record#####                  : Removed 484201,2,7,8,8,4,3,10,3,4,1 zero epithelial#####                  : Changed 0 to 1 in field 6 of sample 1219406#####                  : Changed 0 to 1 in field 8 of following sample:#####                  : 1182404,2,3,1,1,1,2,0,1,1,1",,,Life,,10,699,,345527,,Original Wisconsin Breast Cancer Database,Breast Cancer Wisconsin (Original),https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Original%29,1992
15,"[Classification,  Regression ]",,"Creators:  1. Dr. William H. Wolberg, General Surgery Dept. University of Wisconsin,  Clinical Sciences CenterMadison, WI 53792wolberg '@' eagle.surgery.wisc.edu  2. W. Nick Street, Computer Sciences Dept. University of Wisconsin1210 West Dayton St., Madison, WI 53706street '@' cs.wisc.edu  608-262-6619 3. Olvi L. Mangasarian, Computer Sciences Dept., University of Wisconsin1210 West Dayton St., Madison, WI 53706olvi '@' cs.wisc.edu  Donor:  Nick Street",,Multivariate ,"Each record represents follow-up data for one breast cancer case.  These are consecutive patients seen by Dr. Wolberg since 1984, and include only those cases exhibiting invasive breast cancer and no evidence of distant metastases at the time of diagnosis.  The first 30 features are computed from a digitized image of a fine needle aspirate (FNA) of a breast mass.  They describe characteristics of the cell nuclei present in the image. A few of the images can be found at [Web Link]  The separation described above was obtained using Multisurface Method-Tree (MSM-T) [K. P. Bennett, ""Decision Tree Construction Via Linear Programming."" Proceedings of the 4th Midwest Artificial Intelligence and Cognitive Science Society, pp. 97-101, 1992], a classification method which uses linear programming to construct a decision tree.  Relevant features were selected using an exhaustive search in the space of 1-4 features and 1-3 separating planes. The actual linear program used to obtain the separating plane in the 3-dimensional space is that described in: [K. P. Bennett and O. L. Mangasarian: ""Robust Linear Programming Discrimination of Two Linearly Inseparable Sets"", Optimization Methods and Software 1, 1992, 23-34]. The Recurrence Surface Approximation (RSA) method is a linear programming model which predicts Time To Recur using both recurrent and nonrecurrent cases.  See references (i) and (ii) above for details of the RSA method.  This database is also available through the UW CS ftp server: ftp ftp.cs.wisc.educd math-prog/cpo-dataset/machine-learn/WPBC/",,,Life,,34,198,,138715,,Prognostic Wisconsin Breast Cancer Database,Breast Cancer Wisconsin (Prognostic),https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Prognostic%29,1995
16,[Classification ],,"Creators:  1. Dr. William H. Wolberg, General Surgery Dept. University of Wisconsin,  Clinical Sciences Center Madison, WI 53792wolberg '@' eagle.surgery.wisc.edu  2. W. Nick Street, Computer Sciences Dept. University of Wisconsin, 1210 West Dayton St., Madison, WI 53706street '@' cs.wisc.edu  608-262-6619 3. Olvi L. Mangasarian, Computer Sciences Dept. University of Wisconsin, 1210 West Dayton St., Madison, WI 53706olvi '@' cs.wisc.edu  Donor:  Nick Street",,Multivariate ,"Features are computed from a digitized image of a fine needle aspirate (FNA) of a breast mass.  They describe characteristics of the cell nuclei present in the image. A few of the images can be found at [Web Link]  Separating plane described above was obtained using Multisurface Method-Tree (MSM-T) [K. P. Bennett, ""Decision Tree Construction Via Linear Programming."" Proceedings of the 4th Midwest Artificial Intelligence and Cognitive Science Society, pp. 97-101, 1992], a classification method which uses linear programming to construct a decision tree.  Relevant features were selected using an exhaustive search in the space of 1-4 features and 1-3 separating planes. The actual linear program used to obtain the separating plane in the 3-dimensional space is that described in: [K. P. Bennett and O. L. Mangasarian: ""Robust Linear Programming Discrimination of Two Linearly Inseparable Sets"", Optimization Methods and Software 1, 1992, 23-34]. This database is also available through the UW CS ftp server:ftp ftp.cs.wisc.educd math-prog/cpo-dataset/machine-learn/WDBC/",,,Life,,32,569,,660899,,Diagnostic Wisconsin Breast Cancer Database,Breast Cancer Wisconsin (Diagnostic),https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29,1995
17,[Classification ],,"Creators: Yoram Reich & Steven J. FenvesDepartment of Civil Engineering      andEngineering Design Research CenterCarnegie Mellon UniversityPittsburgh, PA 15213 Compiled from various sources. Donor:  Yoram Reich (yoram.reich '@' cs.cmu.edu)",,Multivariate ,There are two versions to the database:     -  V1 contains the original examples and      - V2 contains descriptions after discretizing numeric properties. There are no ``classes'' in the domain. Rather this is a DESIGN domain where 5 properties (design description) need to be predicted based on 7 specification properties.,,,Other,,13,108,,70271,,Bridges database that has original and numeric-discretized datasets,Pittsburgh Bridges,https://archive.ics.uci.edu/ml/datasets/Pittsburgh+Bridges,1990
18,[Classification ],,Creator:  Marko Bohanec Donors:  1. Marko Bohanec   (marko.bohanec '@' ijs.si)2. Blaz Zupan      (blaz.zupan '@' ijs.si),,Multivariate ,"Car Evaluation Database was derived from a simple hierarchical decision model originally developed for the demonstration of DEX, M. Bohanec, V. Rajkovic: Expert system for decision making. Sistemica 1(1), pp. 145-157, 1990.). The model evaluates cars according to the following concept structure: CAR                      car acceptability. PRICE                  overall price. . buying               buying price. . maint                price of the maintenance. TECH                   technical characteristics. . COMFORT              comfort. . . doors              number of doors. . . persons            capacity in terms of persons to carry. . . lug_boot           the size of luggage boot. . safety               estimated safety of the car Input attributes are printed in lowercase. Besides the target concept (CAR), the model includes three intermediate concepts: PRICE, TECH, COMFORT. Every concept is in the original model related to its lower level descendants by a set of examples (for these examples sets see [Web Link]). The Car Evaluation Database contains examples with the structural information removed, i.e., directly relates CAR to the six input attributes: buying, maint, doors, persons, lug_boot, safety. Because of known underlying concept structure, this database may be particularly useful for testing constructive induction and structure discovery methods.",,,Other,,6,1728,,729752,,"Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods.",Car Evaluation,https://archive.ics.uci.edu/ml/datasets/Car+Evaluation,1997
19,[Classification ],,Donor:  Ronny Kohavi and Barry BeckerData Mining and VisualizationSilicon Graphics.e-mail: ronnyk '@' sgi.com for questions.,,Multivariate ,Extraction was done by Barry Becker from the 1994 Census database.  A set of reasonably clean records was extracted using the following conditions: ((AAGE>16) && (AGI>100) && (AFNLWGT>1)&& (HRSWK>0)) Prediction task is to determine whether a person makes over 50K a year.,,,Social,,14,48842,,245602,,"Predict whether income exceeds $50K/yr based on census data.  Also known as ""Adult"" dataset.",Census Income,https://archive.ics.uci.edu/ml/datasets/Census+Income,1996
20,[Classification ],,Database originally described by Ross Quinlan. Donor/Coder:  Jeff Schlimmer (Jeff.Schlimmer '@' cs.cmu.edu),,"Multivariate, Data-Generator ","The companion file is a Common Lisp demonstration file that generates knight-pin Chess end-game samples.  Start up Lisp and load the file. It generates 100 end-games and writes them to a separate file.  Look at the end of the file to see how to change it so that it will produce more end-games, or use the file for output that you wish. The code is released for experimental, confidential use only. See the end of the file for load-time commands that generate a file of examples in Quinlan's format. Note: this program generates duplicates.  In one run, there were about 370 duplicates in the first 1000 instances (i.e., 630 distinct examples).",,,Game,,22, ,,52842,,Knight Pin Chess End-Game Database Creator,Chess (King-Rook vs. King-Knight),https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Knight%29,1988
21,[Classification ],,Database originally generated and described by Alen Shapiro. Donor/Coder:  Rob Holte (holte '@' uottawa.bitnet).   The database was supplied to Holte by Peter Clark of the Turing Institute in Glasgow (pete '@' turing.ac.uk).,,Multivariate ,The dataset format is described below.  Note: the format of this database was modified on 2/26/90 to conform with the format of all the other databases in the UCI repository of machine learning databases.,,,Game,,36,3196,,82490,,King+Rook versus King+Pawn on a7 (usually abbreviated KRKPA7).,Chess (King-Rook vs. King-Pawn),https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Pawn%29,1989
22,[Classification ],,"Creators:  Database generated by Michael Bain and Arthur van Hoff at the Turing Institute, Glasgow, UK. Donor:  Michael Bain (mike '@' cse.unsw.edu.au), AI Lab, Computer ScienceUniversity of New South Wales, Sydney 2052, Australia.(tel) +61 2 385 3939(fax) +61 2 663 4576",,Multivariate ,"An Inductive Logic Programming (ILP) or relational learning framework is assumed (Muggleton, 1992). The learning system is provided with examples of chess positions described only by the coordinates of the pieces on the board. Background knowledge in the form of row and column differences is also supplied. The relations necessary to form a correct and concise classifier for the target concept must be discovered by the learning system (the examples already provide a complete extensional definition). The task is closely related to Quinlan's (1983) application of ID3 to classify White King and Rook against Black King and Knight (KRKN) positions as lost 2-ply or lost 3-ply. The framework is similar in that the example positions supply only low-grade data. An important difference is that additional background predicates of the kind supplied in the KRKN study via hand-crafted attributes are not provided for this KRK domain. Chess endgames are complex domains which are enumerable. Endgame databases are tables of stored game-theoretic values for the enumerated elements (legal positions) of the domain. The game-theoretic values stored denote whether or not positions are won for either side, or include also the depth of win (number of moves) assuming minimax-optimal play. From the point of view of experiments on computer induction such databases provide not only a source of examples but also an oracle (Roycroft, 1986) for testing induced rules. However a chess endgame database differs from, say, a relational database containing details of parts and suppliers in the following important respect. The combinatorics of computing the required game-theoretic values for individual position entries independently would be prohibitive. Therefore all the database entries are generated in a single iterative process using the ``standard backup'' algorithm (Thompson, 1986). A KRK database was described by Clarke (1977). The current database was described and used for machine learning experiments in Bain (1992; 1994). It should be noted that our database is not guaranteed correct, but the class distribution is the same as Clarke's database. In (Bain 1992; 1994) the task was classification of positions in the database as won for white in a fixed number of moves, assuming optimal play by both sides. The problem was structured into separate sub-problems by depth-of-win ordered draw, zero, one, ..., sixteen. When learning depth d all examples at depths > d are used as negatives. Quinlan (1994) applied Foil to learn a complete and correct solution for this task. The typical complexity of induced classifiers in this domain suggest that the task is demanding when background knowledge is restricted.",,,Game,,6,28056,,87930,,Chess Endgame Database for White King and Rook against Black King (KRK).,Chess (King-Rook vs. King),https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King%29,1994
23,[ ],,"1. ""chess_flann_new"" and ""chess_flann_wyl"" written by flann '@' cs.orst.edu  2. ""chess_russel_wyl"" originally written by Stuart Russell in MRS, then translated into prolog by flann '@' cs.orst.edu  3. ""chess_vijay_1"", ""chess_vijay_2"" and ""chess_vijay_3"" written by vijay '@' cs.orst.edu",,Domain-Theory ,"The six encoding are briefly described below: 1) chess_flann_new: Written by flann '@' cs.orst.edu. Employs a geometric representation for states, with each square designated by an X,Y coordinate and square connectivity computed by vectors. Generates legal moves by first generating peusdo moves then eliminating those that result in the moving player being in check. 2) chess_flann_wyl: Written by flann '@' cs.orst.edu. Employs a relational representation for states, with each square given a unique name and square connectivity computed by an enumeration of connected relations. Generates legal moves by first generating peusdo moves then eliminating those that result in the moving player being in check. 3) chess_russell_wyl: Originally written by Stuart Russell in MRS, translated into prolog by flann '@' cs.orst.edu. Employs a geometric representation for states, with each square designated by an X,Y coordinate and square connectivity computed by vectors. Generates legal moves by determining whether the moving side is in check. If the moving side is in check, moves are generated that destroy the check threat. If the moving side is not in check, moves are generated that do not create a check threat. Note that if the moving side is in check from multiple threats then the domain theory generates incorrect moves. 4) chess_vijay_1: Written by vijay '@' cs.orst.edu. Employs a relational representation for states, with each square given a unique name and square connectivity computed by an enumeration of connected relations. Generates legal moves by first generating peusdo moves then eliminating those that result in the moving player being in check. 5) chess_vijay_2: Written by vijay '@' cs.orst.edu. Employs a geometric representation for states, with each square designated by an X,Y coordinate and square connectivity computed by vectors. Generates legal moves by first generating peusdo moves then eliminating those that result in the moving player being in check. 6) chess_vijay_3: Written by vijay '@' cs.orst.edu. Employs a special linear representation for states, with each square designated by a single number and square connectivity computed by a single delta value. Generates legal moves by first generating peusdo moves then eliminating those that result in the moving player being in check. Each domain theory includes a sample state called state1 that describes the board position illustrated as Figure 4(d) in Flann and Dietterich, ""A study of explanation-based methods for inductive learning"" in Machine Learning, 4 187-226. See file test_domain_theories for an example of loading and running the domain theories. In addition to the domain theories, a file called support_code is included that contains some useful prolog routines. One routine takes a generic chess board description and a domain theory name, and produces a prolog state description suitable for use with the given domain theory. See file test_domain_theories for an example of generating state descriptions.",,,Game,, , ,,38048,,6 different domain theories for generating legal moves of chess,Chess (Domain Theories),https://archive.ics.uci.edu/ml/datasets/Chess+%28Domain+Theories%29, 
24,[ ],,"Chorales: Mainous and Ottman edition.Mainous, Frank D. and Robert W. Ottman, eds. 1966.The 371 Bach Chorales.  Holt, Rinehart and Winston, New York. Original Owners of Database: Darrell ConklinZymoGenetics Inc.1201 Eastlake Avenue EastSeattle WA, 98102conklin '@' zgi.com  Donor of database: Same as owner.  Ann Blombach of Ohio State University originally supplied me with 4-voice encodings of 100 chorales.  The present database is the soprano line, converted into Lisp-readable form, and extensively corrected.",,"Univariate, Time-Series ","Sequential (time-series) domain.  Single-line melodies of 100 Bach chorales (originally 4 voices).  The melody line can be studied independently of other voices.  The grand challenge is to learn a generative grammar for stylistically valid chorales (see references and discussion in ""Multiple Viewpoint Systems for Music Prediction"").",,,Other,,6,100,,91199,,Time-series data based on chorales; challenge is to learn generative grammar; data in Lisp,Bach Chorales,https://archive.ics.uci.edu/ml/datasets/Bach+Chorales, 
25,[Classification ],,Original Owners of Database:  John Tromp (tromp '@' cwi.nl) Donor:  John Tromp (tromp '@' cwi.nl),,"Multivariate, Spatial ","This database contains all legal 8-ply positions in the game of connect-4 in which neither player has won yet, and in which the next move is not forced. x is the first player; o the second. The outcome class is the game theoretical value for the first player.",,,Game,,42,67557,,117843,,Contains connect-4 positions,Connect-4,https://archive.ics.uci.edu/ml/datasets/Connect-4,1995
26,[Classification ],,(confidential source)  Submitted by quinlan '@' cs.su.oz.au,,Multivariate ,"This file concerns credit card applications.  All attribute names and values have been changed to meaningless symbols to protect confidentiality of the data. This dataset is interesting because there is a good mix of attributes -- continuous, nominal with small numbers of values, and nominal with larger numbers of values.  There are also a few missing values.",,,Financial,,15,690,,255159,,This data concerns credit card applications; good mix of attributes,Credit Approval,https://archive.ics.uci.edu/ml/datasets/Credit+Approval, 
27,[Classification ],,Creator:  Chiharu Sano  Donor:  Chiharu Sanocsano '@' bonnie.ICS.UCI.EDU,,"Multivariate, Domain-Theory ",Examples represent positive and negative instances of people who were and were not  granted credit. The theory was generated by talking to the individuals at a Japanese company that grants credit.,,,Financial,, ,125,,73992,,Includes domain theory (generated by talking to Japanese domain experts); data in Lisp,Japanese Credit Screening,https://archive.ics.uci.edu/ml/datasets/Japanese+Credit+Screening,1992
28,[Regression ],,"Creator:  Phillip Ein-Dor and Jacob FeldmesserEin-Dor: Faculty of Management Tel Aviv University; Ramat-Aviv; Tel Aviv, 69978; Israel Donor:  David W. Aha (aha '@' ics.uci.edu) (714) 856-8779   ",,Multivariate ,The estimated relative performance values were estimated by the authors using a linear regression method.  See their article (pp 308-313) for more details on how the relative performance values were set.,,,Computer,,9,209,,193535,,"Relative CPU Performance Data, described in terms of its cycle time, memory size, etc.",Computer Hardware,https://archive.ics.uci.edu/ml/datasets/Computer+Hardware,1987
