,Anonymised Labels ,Author,Column Name,Column Type,Description,File Type,Image Dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of views,Size,Summary,Title,Updated,Url
10,,Department of Energy,,,The State Energy Data System (SEDS) is compiled by the U.S. Energy Information Administration's (EIA); it is a comprehensive database of energy statistics by state (and includes totals for the entire US). SEDS includes estimates of energy production consumption prices and expenditures broken down by energy source and sector. Annual estimates are available from 1960 – 2009 for production and consumption estimates and from 1970 – 2009 for price and expenditure estimates. The multi-dimensional nature of this EIA dataset allows users to make comparisons across States energy sources sectors and over time.  Related Links  Link to state SEDS  SEDS documentation  Complete SEDS data tables and files,CSV,,"[eia, energy-consumption, energy-expenditures, energy-prices, energy-production, seds, state-energy-data, states, us]",Creative Commons CCZero,,,846,846,,,State Energy Data System (SEDS) Complete Dataset through 2009,2015-08-21T19:36:08Z,https://catalog.data.gov/dataset/state-energy-data-system-seds-complete-dataset-through-2009
11,,"U.S. Geological Survey, Department of the Interior",,,This is a tiled collection of the 3D Elevation Program (3DEP) and is one meter resolution.The 3DEP data holdings serve as the elevation layer of The National Map and provide foundational elevation information for earth science studies and mapping applications in the United States. Scientists and resource managers use 3DEP data for hydrologic modeling resource monitoring mapping and visualization and many other applications. The elevations in this DEM represent the topographic bare-earth surface. USGS standard one-meter DEMs are produced exclusively from high resolution light detection and ranging (lidar) source data of one-meter or higher resolution. One-meter DEM surfaces are seamless within collection projects but not necessarily seamless across projects. The spatial reference used for tiles of the one-meter DEM within the conterminous United States (CONUS) is Universal Transverse Mercator (UTM) in units of meters and in conformance with the North American Datum of 1983 (NAD83). All bare earth elevation values are in meters and are referenced to the North American Vertical Datum of 1988 (NAVD88). Each tile is distributed in the UTM Zone in which it lies. If a tile crosses two UTM zones it is delivered in both zones. The one-meter DEM is the highest resolution standard DEM offered in the 3DEP product suite. Other 3DEP products are nationally seamless DEMs in resolutions of 1/3 1 and 2 arc seconds. These seamless DEMs were referred to as the National Elevation Dataset (NED) from about 2000 through 2015 at which time they became the seamless DEM layers under the 3DEP program and the NED name and system were retired. Other 3DEP products include five-meter DEMs in Alaska as well as various source datasets including the lidar point cloud and interferometric synthetic aperture radar (Ifsar) digital surface models and intensity images. All 3DEP products are public domain.,WAF,,"[topography, bare earth, topographic surface, 10000 x 10000 meter, downloadable data, cartography, national elevation ..., terrain elevation, gis, img, ned, lidar, united states, digital elevation m..., 3dep, light detection and..., elevation, digital terrain model, elevation theme, ngda, mapping, u.s. geological survey, national geospatial..., high resolution, geodata, hydro-flattened, usgs, raster, 1 meter dem, 10, 000 meter dem, us, dem, digital elevation m..., digital mapping]",U.S. Government Work,,,764,764,,,1 meter Digital Elevation Models (DEMs) - USGS National Map 3DEP Downloadable Data Collection,,https://catalog.data.gov/dataset/usgs-national-elevation-dataset-ned-1-meter-downloadable-data-collection-from-the-national-map-
12,,Department of Agriculture,,,How much do fruits and vegetables cost? ERS estimated average prices for 153 commonly consumed fresh and processed fruits and vegetables.,XLS,,"[agricultural-economics, food-costs]",Creative Commons CCZero,,,722,722,,,Fruit and Vegetable Prices,2014-03-19,https://catalog.data.gov/dataset/fruit-and-vegetable-prices
13,,U.S. Department of Health & Human Services,,,This dataset includes data on adult's diet physical activity and weight status from Behavioral Risk Factor Surveillance System. This data is used for DNPAO's Data Trends and Maps database which provides national and state specific data on obesity nutrition physical activity and breastfeeding.,CSV,,"[adults, brfss, dnpao, fruit, nutrition, obesity, overweight, physical-activity, vegetables, walking]",See this page for license information.,,,711,711,,,"Nutrition, Physical Activity, and Obesity - Behavioral Risk Factor Surveillance System",2018-02-24,https://catalog.data.gov/dataset/nutrition-physical-activity-and-obesity-behavioral-risk-factor-surveillance-system
14,,City of Los Angeles,,,This data comes from the 2010 Census Profile of General Population and Housing Characteristics. Zip codes are limited to those that fall at least partially within LA city boundaries. The dataset will be updated after the next census in 2020.     To view all possible columns and access the data directly visit http//factfinder.census.gov/faces/affhelp/jsf/pages/metadata.xhtml?lang=en&type=table&id=table.en.DEC_10_SF1_SF1DP1#main_content.,CSV,,"[census, population, zip-code]",See this page for license information.,,,706,706,,,2010 Census Populations by Zip Code,2016-11-30,https://catalog.data.gov/dataset/2010-census-populations-by-zip-code
15,,Department of Commerce,,,The US Census Bureau's online County Look-up Tool provides the unique 3-digit code for the Identification of Counties and Equivalent Entities of the United States its Possessions and Insular Areas.,HTML,,"[ansi, county-codes, fips, fips-6-4, incits-31-2009, state-codes]",U.S. Government Work,,,704,704,,,FIPS County Code Look-up Tool,2000-01-01,https://catalog.data.gov/dataset/fips-county-code-look-up-tool
16,,Department of Commerce,,,American FactFinder is the Census Bureau's online self-service tool designed to search a  variety of population economic geographic and housing information.,CSV,,"[accommodation-and-f..., administrative-and-..., age, ancestry, art-and-entertainme..., business, construction, demographic, disability, economic, education, educational-services, employment, establishments, ethnicity, family-type, fertility, finance-and-insurance, financial-character..., grandparents, health-care-and-soc..., hispanic-origin, household-size, housing, income, industry, information, language, management-of-compa..., manufacturing, marital-status, mining, number-of-employees, number-of-rooms, other-services, owners, payroll, physical-characteri..., population, poverty, professional-and-sc..., race, real-estate-and-ren..., receipts, relationships, renters, retail-trade, sales, school-enrollment, sex, shipment, tenure, transportation-and-..., utilities, veteran-status, wholesale-trade]",U.S. Government Work,,,638,638,,,American FactFinder II,2014-09-16,https://catalog.data.gov/dataset/american-factfinder-ii
17,,Allegheny County / City of Pittsburgh / Western PA Regional Data Center,,,Allows users to look up City of Pittsburgh Wards,HTML,,"[map, pittsburgh, wards]",See this page for license information.,,,634,634,,,Pittsburgh Wards Map,2015-06-18T15:47:00.864934,https://catalog.data.gov/dataset/pittsburgh-wards-map
18,,Department of Commerce,,,Monthly report that provides national trade data including imports exports and balance of payments for goods and services. Statistics are also reported on a year-to-date basis. Data are continuously compiled and processed. Documents are collected as shipments arrive and depart and are processed on a flow basis. The BEA uses the data to update U.S. balance of payments gross domestic product and national accounts. Other federal agencies use them for economic financial and trade policy analysis (such as import/export promotion studies and import/export price indexes). Private businesses and trade associations use them for domestic and overseas market analysis and industry- product- and area-based business planning. Major print and electronic news media use them for general and business news reports.,HTML,,"[aberdeen-hoquiam, accessories, addison, administered, advanced, aeroplex, afghanistan, africa, african, agricultural, agriculture, aguadilla, air, airborne, aircraft, airport, ait, ak, akron, al, alameda, albania, albans, albany, albuquerque, alcan, alcoholic, alexandria, algeria, algonac, aliexpress, alitalia, allen, allentown, alliance, alpena, alumina, aluminum, amalie, amarillo, amboy, ambrose, american, ammunition, anacortes, anchorage, andorra, andrade, angeles, angola, anguilla, animal, annapolis, antarctic, antigua, antilles, antiques, antler, antonio, apparatus, apparel, appliances, ar, arab, arabia, argentina, arizona, arkansas, armenia, armored, art, arthur, artillery, artwork, aruba, ashland, ashtabula-conneaut, assembled, association, astoria, atlanta, atlantic, audio, austin, australia, austria, auto, automotive, avion, avondale, az, azerbaijan, bahamas, bahrain, bakersfield, bakery, balance, baltimore-washington, bangladesh, bangor, ...]",U.S. Government Work,,,630,630,,,U.S. International Trade in Goods and Services,2016-07-06,https://catalog.data.gov/dataset/us-international-trade-in-goods-and-services
19,,U.S. Department of Health & Human Services,,,This dataset presents the age-adjusted death rates for the 10 leading causes of death in the United States beginning in 1999.    Data are based on information from all resident death certificates filed in the 50 states and the District of Columbia using demographic and medical characteristics. Age-adjusted death rates (per 100000 population) are based on the 2000 U.S. standard population. Populations used for computing death rates after 2010 are postcensal estimates based on the 2010 census estimated as of July 1 2010. Rates for census years are based on populations enumerated in the corresponding censuses. Rates for non-census years before 2010 are revised using updated intercensal population estimates and may differ from rates previously published.    Causes of death classified by the International Classification of Diseases Tenth Revision (ICDâ10) are ranked according to the number of deaths assigned to rankable causes. Cause of death statistics are based on the underlying cause of death.,CSV,,"[leading-causes-of-d..., mortality, nchs, state, united-states]",See this page for license information.,,,587,587,,,NCHS - Leading Causes of Death: United States,2018-02-03,https://catalog.data.gov/dataset/age-adjusted-death-rates-for-the-top-10-leading-causes-of-death-united-states-2013
20,,U.S. Department of Health & Human Services,,,"The National Survey on Drug Use and Health (NSDUH) series (formerly titled National Household Survey on Drug Abuse) primarily measures the prevalence and        correlates of drug use in the United States. The surveys are designed to provide quarterly as well as annual estimates. Information is provided on the use        of illicit drugs alcohol and tobacco among members of United States households aged 12 and older. Questions included age at first use as well as        lifetime annual and past-month usage for the following drug classes marijuana cocaine (and crack) hallucinogens heroin inhalants alcohol tobacco        and nonmedical use of prescription drugs including pain relievers tranquilizers stimulants and sedatives. The survey covered substance abuse treatment        history and perceived need for treatment and included questions from the Diagnostic and Statistical Manual (DSM) of Mental Disorders that allow diagnostic        criteria to be applied. The survey included questions concerning treatment for both substance abuse and mental health-related disorders. Respondents were        also asked about personal and family income sources and amounts health care access and coverage illegal activities and arrest record problems resulting        from the use of drugs and needle-sharing. Questions introduced in previous administrations were retained in the 2015 survey including questions asked        only of respondents aged 12 to 17. These ""youth experiences"" items covered a variety of topics such as neighborhood environment illegal activities drug        use by friends social support extracurricular activities exposure to substance abuse prevention and education programs and perceived adult attitudes        toward drug use and activities such as school work. Several measures focused on prevention-related themes in this section. Also retained were questions on        mental health and access to care perceived risk of using drugs perceived availability of drugs driving and personal behavior and cigar smoking.        Questions on the tobacco brand used most often were introduced with the 1999 survey. For the 2008 survey adult mental health questions were added to        measure symptoms of psychological distress in the worst period of distress that a person experienced in the past 30 days and suicidal ideation. In 2008 a        split-sample design also was included to administer separate sets of questions (WHODAS vs. SDS) to assess impairment due to mental health problems.        Beginning with the 2009 NSDUH however all of the adults in the sample received only the WHODAS questions. Background information includes gender race        age ethnicity marital status educational level job status veteran status and current household composition.This study has 1 Data Set.",HTML,,"[addiction, alcohol, alcohol-abuse, alcohol-consumption, amphetamines, barbiturates, cocaine, controlled-drugs, crack-cocaine, demographic-charact..., depression-psychology, drinking-behavior, drug-abuse, drug-dependence, drug-treatment, drug-use, drugs, employment, hallucinogens, health-care, heroin, households, income, inhalants, marijuana, mental-health, mental-health-services, methamphetamine, pregnancy, prescription-drugs, sedatives, smoking, stimulants, substance-abuse, substance-abuse-tre..., tobacco-use, tranquilizers, youths]",See this page for license information.,,,578,578,,,National Survey on Drug Use and Health (NSDUH-2015),2016-12-20,https://catalog.data.gov/dataset/national-survey-on-drug-use-and-health-nsduh-2015
21,,General Services Administration,,,National Stock Number extract includes the current listing of National Stock Numbers (NSNs)  NSN item name and descriptions and current selling price of each product listed in GSA Advantage and managed by GSA.  Each NSN is listed with the vendors description of the item. Some descriptions exceed the standard length and are truncated.,XLSX,,"[national-stock-number, nsn, part-number, product, vendor]",Creative Commons CCZero,,,525,525,,,National Stock Number Extract,2017-04-13,https://catalog.data.gov/dataset/national-stock-number-extract
22,,Department of Homeland Security,,,The National Flood Hazard Layer (NFHL) is a compilation of GIS data that comprises a nationwide digital Flood Insurance Rate Map. The GIS data and services are designed to provide the user with the ability to determine the flood zone base flood elevation and floodway status for a particular location. It also has information about the NFIP communities map panels cross sections hydraulic structures Coastal Barrier Resource System and base maps such as road stream and public land survey data. Through flood studies FEMA produces Flood Insurance Study Reports FIRM Panels and FIRM Databases. FIRM Databases that become effective are incorporated into the NFHL. Updates to the NFHL are issued through Letters of Map Revision (LOMRs) and Letters of Map Amendment (LOMAs). Continuously updated the NFHL serves as a Digital Flood Insurance Rate Map representing the current effective flood data for those communities where maps have been digitized. NFHL data can be viewed with widely available GIS software including freely available programs that work with GIS shapefiles. For more information on the NFHL see the online resources referenced herein. Using base maps The minimum horizontal positional accuracy for base map hydrographic and transportation features used with the NFHL is the NSSDA radial accuracy of 38 feet. Letter of Map Amendment (LOMA) point locations are approximate. The location of the LOMA is referenced in the legal description of the letter itself. LOMA points can be viewed in the NFHL Interactive Map on the FEMA GeoPlatform.,NFHL Status Page,,"[flood insurance rat..., wyoming, colorado, guam, nebraska, washington, cbrs, alaska, coastal flooding, wisconsin, base flood elevation, south dakota, federated state of ..., maine, montana, north dakota, mississippi, nevada, palau, hawaii, new jersey, new hampshire, oklahoma, delaware, minnesota, north carolina, illinois, district of columbia, arkansas, west virginia, puerto rico, indiana, maryland, louisiana, idaho, firm, arizona, iowa, virgin islands, special flood hazar..., elevation theme, michigan, kansas, ngda, virginia, oregon, floodway, connecticut, national geospatial..., california, massachusetts, coastal barrier res..., tennessee, new york, sfha, rhode island, northern mariana is..., utah, vermont, georgia, riverine flooding, pennsylvania, florida, american samoa, kentucky, fema flood hazard zone, nfip, marshall islands, texas, missouri, south carolina, ohio, alabama, u.s. minor islands, firm database, new mexico]",U.S. Government Work,,,484,484,,,National Flood Hazard Layer (NFHL),,https://catalog.data.gov/dataset/national-flood-hazard-layer-nfhl
23,,"U.S. Geological Survey, Department of the Interior",,,The USGS Transportation downloadable data from The National Map (TNM) is based on TIGER/Line data provided through U.S. Census Bureau and supplemented with HERE road data to create tile cache base maps. Some of the TIGER/Line data includes limited corrections done by USGS. Transportation data consists of roads railroads trails airports and other features associated with the transport of people or commerce. The data include the name or route designator classification and location. Transportation data support general mapping and geographic information system technology analysis for applications such as traffic safety congestion mitigation disaster planning and emergency response. The National Map transportation data is commonly combined with other data themes such as boundaries elevation hydrography and structures to produce general reference base maps. The National Map viewer allows free downloads of public domain transportation data in either Esri File Geodatabase or Shapefile formats. For additional information on the transportation data model go to https//nationalmap.gov/transport.html.,WAF,,"[united states, airports, trails, airport complex, railways, navaid, airport point, airstrips, geographic names, trailfeature, us, roads, transportation, waterway, airport runway, juction]",U.S. Government Work,,,458,458,,,USGS National Transportation Dataset (NTD) Downloadable Data Collection,,https://catalog.data.gov/dataset/usgs-national-transportation-dataset-ntd-downloadable-data-collectionde7d2
24,,Office of Personnel Management,,,The Electronic Official Personnel Folder (eOPF) is an electronic version of the paper OPF providing Web-enabled access for federal employees and human resources (HR) staff to view eOPF documents. The Official Personnel Folder (OPF) contains records that cover a civilian federal employee's employment history.,,,"[electronic-official..., eopf, official-personnel-..., opf, personnel-folder]",U.S. Government Work,,,442,442,,,Electronic Official Personnel Folder (eOPF),2014,https://catalog.data.gov/dataset/electronic-official-personnel-folder-eopf
25,,Department of Agriculture,,,Food environment factors--such as store/restaurant proximity food prices food and nutrition assistance programs and community characteristics--interact to influence food choices and diet quality. Research is beginning to document the complexity of these interactions but more is needed to identify causal relationships and effective policy interventions. The objectives of the Atlas are    to assemble statistics on food environment indicators to stimulate research on the determinants of food choices and diet quality and to provide a spatial overview of a community's ability to access healthy food and its success in doing so.,HTML,,"[food-assistance, food-security, food-stores, geospatial, gis, grocery-stores, health, local-foods, obesity, physical-activity-l..., restaurants, socioeconomic-chara..., taxes]",Creative Commons Attribution,,,435,435,,,Food Environment Atlas,2015-01-29,https://catalog.data.gov/dataset/food-environment-atlas-f4a22
26,,City of Los Angeles,,,This dataset reflects incidents of crime in the City of Los Angeles dating back to 2010. This data is transcribed from original crime reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0° 0°). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments.,CSV,,"[crime, crime-data, crimes, lapd, police, safe-city]",See this page for license information.,,,432,432,,,Crime Data from 2010 to Present,2018-02-20,https://catalog.data.gov/dataset/crime-data-from-2010-to-present
27,,Department of Commerce,,,An annual nationwide survey that collects information such as age race income commute time to work home value veteran status and other data.,HTML,,"[acs, age, ancestry, citizenship, demographic, disability, divorce, economic, education, employment, ethnicity, family-type, fertility, financial-character..., food-stamps, grandparents, grandparents-as-car..., health-insurance, hispanic-or-latino-..., homeowner, household-size, housing, income, industry, journey-to-work, language, marital-status, marriage, mortgage, number-of-rooms, occupation, owners, physical-characteri..., place-of-birth, population, poverty, race, relationships, renters, school-enrollment, sex, snap, social, tenure, veteran-status, veterans]",U.S. Government Work,,,431,431,,,American Community Survey,2014-09-16,https://catalog.data.gov/dataset/american-community-survey
28,,Department of Education,,,My Brother's Keeper (MBK) initiative is an interagency effort to improve measurably the expected educational and life outcomes for and address the persistent opportunity gaps faced by boys and young men of color (including African Americans Hispanic Americans and Native Americans). The MBK Task Force coordinates a Federal effort to improve significantly the expected life outcomes for boys and young men of color and their contributions to U.S. prosperity. The MBK Task Force collaborated with the Interagency Forum on Child and Family Statistics and federal statistical agencies to pull together new statistics for key indicators - derived from existing publicly available datasets - cross tabulated for race and gender for the first time. These statistics are highlighted in the MBK Task Force May 2014 report and are posted on MBK.ed.gov.,Microsoft Excel,,"[adolescent-births, advanced-placement-..., asthma, child-poverty, civil-rights, college-enrollment, diet-quality, elementary-and-seco..., gender, homicide, imprisonment, juvenile-correction..., my-brothers-keeper, race, schools, student-discipline, students, victims-of-crimes]",Creative Commons CCZero,,,368,368,,,My Brother's Keeper Key Statistical Indicators on Boys and Men of Color,2014-05-30,https://catalog.data.gov/dataset/my-brothers-keeper-key-statistical-indicators-on-boys-and-men-of-color
29,,Department of Agriculture,,,Socioeconomic indicators like the poverty rate population change unemployment rate and education levels vary across the nation. ERS has compiled the latest data on these measures into a mapping and data display/download application that allows users to identify and compare States and counties on these indicators.,HTML,,"[and-education-levels, population-change, poverty-rate, unemployment-rate]",Creative Commons CCZero,,,367,367,,,County-level Data Sets,2014-03-19,https://catalog.data.gov/dataset/county-level-data-sets
30,,Department of Education,,,High School and Beyond (HS&B) is a study that is part of the Longitudinal Studies Branch (LSB) program; program data is available since 1980 at https//nces.ed.gov/pubsearch/getpubcats.asp?sid=022. HS&B (https//nces.ed.gov/surveys/hsb/) is a longitudinal survey. HS&B survey included two cohorts the 1980 senior class and the 1980 sophomore class. Both cohorts were surveyed every two years through 1986 and the 1980 sophomore class was also surveyed again in 1992.,API,,"[academic-achievement, dropout-rate, educational-aspirat..., high-school, high-school-experie..., occupation, postsecondary-educa...]",Creative Commons CCZero,,,359,359,,,High School and Beyond,1995-06-15,https://catalog.data.gov/dataset/high-school-and-beyond
31,,Montgomery County of Maryland,,,This dataset contains traffic violation information from all electronic traffic violations issued in the County.  Any information that can be used to uniquely identify the vehicle the vehicle owner or the officer issuing the violation will not be published.  Update Frequency  Daily,CSV,,"[electronic-issued, stop, traffic, violations]",No license information was provided.,,,353,353,,,Traffic Violations,2018-02-20,https://catalog.data.gov/dataset/traffic-violations-56dda
32,,U.S. Department of Health & Human Services,,,This is the complete dataset for the 500 Cities project. This dataset includes 2013 2014 model-based small area estimates for 27 measures of chronic disease related to unhealthy behaviors (5) health outcomes (13) and use of preventive services (9). Data were provided by the Centers for Disease Control and Prevention (CDC) Division of Population Health Epidemiology and Surveillance Branch. The project was funded by the Robert Wood Johnson Foundation (RWJF) in conjunction with the CDC Foundation. It represents a first-of-its kind effort to release information on a large scale for cities and for small areas within those cities. It includes estimates for the 500 largest US cities and approximately 28000 census tracts within these cities. These estimates can be used to identify emerging health problems and to inform development and implementation of effective targeted public health prevention activities. Because the small area model cannot detect effects due to local interventions users are cautioned against using these estimates for program or policy evaluations. Data sources used to generate these measures include Behavioral Risk Factor Surveillance System (BRFSS) data (2013 2014) Census Bureau 2010 census population data and American Community Survey (ACS) 2009-2013 2010-2014 estimates. More information about the methodology can be found at www.cdc.gov/500cities.,CSV,,"[500cities, behaviors, brfss, census, cities, outcomes, prevalence, prevention, tracts, unhealthy]",See this page for license information.,,,350,350,,,500 Cities: Local Data for Better Health,2016-12-07,https://catalog.data.gov/dataset/500-cities-local-data-for-better-health-b32fd
33,,National Aeronautics and Space Administration,,,The purpose of the Aerospace Technical Facility Inventory is to facilitate the sharing of specialized capabilities within the aerospace research/engineering community primarily within NASA but also throughout the nation and the entire world. A second use is to assist in answering questions regarding NASA capabilities for future missions or various alternative scenarios regarding mission support to help the Agency maintain the right set of assets.,Excel,,"[facility, lab, laboratory]",U.S. Government Work,,,345,345,,,Agency Data on User Facilities,2014-06-05,https://catalog.data.gov/dataset/agency-data-on-user-facilities
